,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_depth,1.632,0.023,1.588,1.675,0.0,0.0,15611.0,14393.0,1.0
t0,2263.621,0.003,2263.616,2263.627,0.0,0.0,17862.0,14507.0,1.0
tn,4648.794,0.002,4648.791,4648.797,0.0,0.0,15634.0,12975.0,1.0
m_star,1.104,0.05,1.01,1.196,0.0,0.0,16066.0,14000.0,1.0
r_star,1.291,0.068,1.163,1.422,0.001,0.001,2540.0,875.0,1.0
u_star[0],0.659,0.263,0.156,1.115,0.003,0.002,8430.0,8741.0,1.0
u_star[1],0.023,0.354,-0.548,0.655,0.005,0.003,5774.0,8757.0,1.0
b,0.568,0.096,0.405,0.71,0.004,0.003,1888.0,729.0,1.0
ror,0.067,0.002,0.064,0.071,0.0,0.0,2184.0,843.0,1.0
r_pl,0.087,0.006,0.075,0.099,0.0,0.0,2141.0,709.0,1.0
r_pl_rade,9.481,0.683,8.191,10.788,0.016,0.011,2141.0,709.0,1.0
period_38,62.768,0.0,62.768,62.768,0.0,0.0,16894.0,13845.0,1.0
logl_38,-149.35,29.004,-198.433,-110.619,0.292,0.208,11012.0,17208.0,1.0
period_39,61.158,0.0,61.158,61.158,0.0,0.0,16894.0,13845.0,1.0
logl_39,-142.912,25.712,-187.217,-110.411,0.261,0.186,11602.0,17207.0,1.0
period_40,59.629,0.0,59.629,59.629,0.0,0.0,16894.0,13845.0,1.0
logl_40,-137.375,22.482,-177.029,-110.292,0.231,0.165,11445.0,17118.0,1.0
period_41,58.175,0.0,58.175,58.175,0.0,0.0,16894.0,13845.0,1.0
logl_41,-132.691,19.35,-167.713,-110.221,0.201,0.144,10738.0,16298.0,1.0
period_42,56.79,0.0,56.79,56.79,0.0,0.0,16894.0,13845.0,1.0
logl_42,-128.815,16.363,-159.371,-110.32,0.172,0.122,9914.0,16041.0,1.0
period_43,55.469,0.0,55.469,55.469,0.0,0.0,16894.0,13845.0,1.0
logl_43,-125.698,13.589,-151.421,-110.17,0.143,0.101,9614.0,16876.0,1.0
period_44,54.208,0.0,54.208,54.209,0.0,0.0,16894.0,13845.0,1.0
logl_44,-123.296,11.131,-144.803,-110.37,0.111,0.08,12068.0,16957.0,1.0
period_45,53.004,0.0,53.004,53.004,0.0,0.0,16894.0,13845.0,1.0
logl_45,-121.561,9.159,-138.798,-110.354,0.078,0.057,14014.0,15938.0,1.0
period_46,51.852,0.0,51.851,51.852,0.0,0.0,16894.0,13845.0,1.0
logl_46,-120.449,7.923,-135.14,-110.361,0.065,0.046,14828.0,15145.0,1.0
period_47,50.748,0.0,50.748,50.748,0.0,0.0,16894.0,13845.0,1.0
logl_47,-119.915,7.656,-134.45,-110.445,0.063,0.044,15066.0,15498.0,1.0
period_48,49.691,0.0,49.691,49.691,0.0,0.0,16894.0,13845.0,1.0
logl_48,-119.916,8.332,-136.439,-110.29,0.069,0.049,14320.0,17348.0,1.0
period_49,48.677,0.0,48.677,48.677,0.0,0.0,16894.0,13845.0,1.0
logl_49,-120.409,9.656,-140.595,-110.187,0.082,0.058,13240.0,16585.0,1.0
period_50,47.703,0.0,47.703,47.704,0.0,0.0,16894.0,13845.0,1.0
logl_50,-121.356,11.325,-145.426,-110.204,0.098,0.069,12421.0,17510.0,1.0
period_51,46.768,0.0,46.768,46.768,0.0,0.0,16894.0,13845.0,1.0
logl_51,-122.718,13.144,-150.442,-110.255,0.115,0.081,12092.0,16043.0,1.0
period_52,45.869,0.0,45.869,45.869,0.0,0.0,16894.0,13845.0,1.0
logl_52,-124.46,15.009,-155.574,-110.248,0.132,0.093,12212.0,15625.0,1.0
period_53,45.003,0.0,45.003,45.003,0.0,0.0,16894.0,13845.0,1.0
logl_53,-126.549,16.863,-161.013,-110.245,0.149,0.105,12621.0,16050.0,1.0
period_54,44.17,0.0,44.17,44.17,0.0,0.0,16894.0,13845.0,1.0
logl_54,-128.955,18.677,-166.618,-110.316,0.166,0.117,13126.0,17331.0,1.0
period_55,43.367,0.0,43.367,43.367,0.0,0.0,16894.0,13845.0,1.0
logl_55,-131.65,20.433,-172.219,-110.251,0.183,0.129,13339.0,17946.0,1.0
logl,-111.336,1.533,-114.144,-108.917,0.018,0.012,7835.0,10432.0,1.0
